contexto,vencedor_base,bt_vencedora,quantidade_vitorias,percentual_vitorias,total_cenarios,estabilidade_vencedor_base
Tempo Real,BT Drone Crítico,BT Drone Crítico,1475,0.913312693498452,1615,0.913312693498452
Tempo Real,BT Drone Crítico,BT Missão Crítica,93,0.057585139318885446,1615,0.913312693498452
Tempo Real,BT Drone Crítico,BT Sistema Médico,30,0.018575851393188854,1615,0.913312693498452
Tempo Real,BT Drone Crítico,BT Veículo Autônomo,17,0.010526315789473684,1615,0.913312693498452
Equipe Iniciante,BT Sistema Médico,BT Sistema Médico,1615,1.0,1615,1.0
Ambiente Dinâmico,BT Configurável,BT Configurável,1615,1.0,1615,1.0
