nome,profundidade,ramificacao,total_nos,condicoes_compostas,subtrees,nos_controle,caminhos_decisao,rastreabilidade,simplicidade,clareza_logica,explicabilidade_tempo_real,explicabilidade_equipe_iniciante,explicabilidade_ambiente_dinamico,inputs_disponiveis,inputs_usados,grau_parametrizacao,adaptabilidade,modulos_totais,modulos_reutilizaveis,modularidade,inputs_dinamicos,inputs_literais
follow_point,5,4,10,2,0,3,5,0.16666666666666666,0.18181818181818182,0.3333333333333333,0.1893939393939394,0.15303030303030302,0.13636363636363635,23,12,0.5217391304347826,0.2608695652173913,3,0,0.0,6,6
navigate_on_route_graph_w_recovery,9,5,49,17,0,21,28,0.034482758620689655,0.125,0.05555555555555555,0.08916256157635469,0.07502736726874658,0.08110290093048715,106,46,0.4339622641509434,0.2358490566037736,21,2,0.09523809523809523,25,21
navigate_through_poses_w_replanning_and_recovery,8,7,40,14,0,16,24,0.04,0.11764705882352941,0.06666666666666667,0.07105882352941177,0.048862745098039215,0.04486274509803922,92,43,0.4673913043478261,0.17391304347826086,16,0,0.0,16,27
navigate_to_pose_w_bounds_check,3,2,5,2,0,2,3,0.25,0.2857142857142857,0.3333333333333333,0.23928571428571427,0.19880952380952382,0.1738095238095238,18,8,0.4444444444444444,0.2777777777777778,2,0,0.0,5,3
navigate_to_pose_w_replanning_and_recovery,8,7,38,13,0,15,23,0.041666666666666664,0.11764705882352941,0.07142857142857142,0.07265406162464985,0.05031512605042016,0.0461484593837535,90,37,0.4111111111111111,0.12222222222222222,15,0,0.0,11,26
